,customer_id,product_id,count
0,C000000001,P000000031,4709
1,C000000002,P000000086,8952
2,C000000003,P000000006,1364
3,C000000004,P000000063,5266
4,C000000005,P000000038,3809
5,C000000006,P000000014,2834
6,C000000007,P000000051,6277
7,C000000008,P000000090,3183
8,C000000009,P000000064,6696
9,C000000010,P000000013,7481
10,C000000011,P000000081,332
11,C000000012,P000000089,3563
12,C000000013,P000000069,1421
13,C000000014,P000000092,7568
14,C000000015,P000000032,2111
15,C000000016,P000000022,3237
16,C000000017,P000000080,8208
17,C000000018,P000000070,6172
18,C000000019,P000000005,8736
19,C000000020,P000000077,9187
20,C000000021,P000000035,6996
21,C000000022,P000000010,926
22,C000000023,P000000084,8132
23,C000000024,P000000048,3764
24,C000000025,P000000040,9468
25,C000000026,P000000023,7419
26,C000000027,P000000057,8070
27,C000000028,P000000007,5070
28,C000000029,P000000068,7616
29,C000000030,P000000037,8151
30,C000000031,P000000091,5832
31,C000000032,P000000053,8006
32,C000000033,P000000008,2549
33,C000000034,P000000024,6575
34,C000000035,P000000087,5304
35,C000000036,P000000027,3048
36,C000000037,P000000078,6236
37,C000000038,P000000073,8648
38,C000000039,P000000001,9972
39,C000000040,P000000066,5356
40,C000000041,P000000011,2045
41,C000000042,P000000098,8937
42,C000000043,P000000012,5175
43,C000000044,P000000041,794
44,C000000045,P000000020,3252
45,C000000046,P000000047,9443
46,C000000047,P000000058,5807
47,C000000048,P000000021,3041
48,C000000049,P000000099,7808
49,C000000050,P000000056,1998
50,C000000051,P000000025,7930
51,C000000052,P000000009,6768
52,C000000053,P000000015,4462
53,C000000054,P000000036,7324
54,C000000055,P000000093,1661
55,C000000056,P000000061,2098
56,C000000057,P000000085,6708
57,C000000058,P000000003,9465
58,C000000059,P000000002,1685
59,C000000060,P000000097,5543
60,C000000061,P000000074,2580
61,C000000062,P000000054,167
62,C000000063,P000000071,6496
63,C000000064,P000000050,6576
64,C000000065,P000000026,8390
65,C000000066,P000000055,9776
66,C000000067,P000000019,7867
67,C000000068,P000000072,7290
68,C000000069,P000000042,9149
69,C000000070,P000000017,6980
70,C000000071,P000000083,7745
71,C000000072,P000000075,1402
72,C000000073,P000000088,4641
73,C000000074,P000000044,3826
74,C000000075,P000000018,2753
75,C000000076,P000000062,9271
76,C000000077,P000000079,7068
77,C000000078,P000000049,5510
78,C000000079,P000000095,6347
79,C000000080,P000000046,432
80,C000000081,P000000028,2039
81,C000000082,P000000065,8110
82,C000000083,P000000030,3974
83,C000000084,P000000043,7333
84,C000000085,P000000076,4632
85,C000000086,P000000045,4236
86,C000000087,P000000033,2111
87,C000000088,P000000067,8824
88,C000000089,P000000060,9193
89,C000000090,P000000004,7077
90,C000000091,P000000059,1444
91,C000000092,P000000096,1003
92,C000000093,P000000082,8095
93,C000000094,P000000100,3570
94,C000000095,P000000039,7063
95,C000000096,P000000052,3683
96,C000000097,P000000034,1639
97,C000000098,P000000029,8626
98,C000000099,P000000016,4411
99,C000000100,P000000094,6548
